name;date;sample;sampling_day;Air_Temp;Water_temp;PAR_air;PAR_water;pH;conductivity;DO;C_mgL;N_mgL;C/N;SRP_ugL;Chl-a_ugL
day1;June_21;day;1;30.5;24.5;2011;697.5;6.5;49.8;2.48;1.041;0.094;11.074;33.8028;2.953
day1;June_21;day;1;-;-;-;-;-;-;-;1.024;0.094;10.894;20.8017;2.265
day1;June_21;day;1;-;-;-;-;-;-;-;1.011;0.092;10.989;27.8932;1.236
night1;June_22;night;1;18.5;22.5;0;0;6.45;50.7;2.87;0.486;0.039;12.462;22.5352;0.217
night1;June_22;night;1;-;-;-;-;-;-;-;1.029;0.1;10.29;13.8678;0.702
night1;June_22;night;1;-;-;-;-;-;-;-;1.012;0.094;10.766;18.5955;0.732
day2;July_05;day;2;28.3;23.5;2024;619;6.9;52.2;4.04;2.13;0.159;13.396;20.3289;5.883
day2;July_05;day;2;-;-;-;-;-;-;-;2.267;0.177;12.808;16.7832;5.687
day2;July_05;day;2;-;-;-;-;-;-;-;1.957;0.146;13.404;19.147;5.806
night2;July_06;night;2;17.6;20;0;0;6.3;53.1;2.32;0.571;0.04;14.275;13.5526;1.337
night2;July_06;night;2;-;-;-;-;-;-;-;0.637;0.051;12.49;11.1888;1.417
night2;July_06;night;2;-;-;-;-;-;-;-;1.669;0.126;13.246;12.7647;1.591
day3;July_07;day;3;32;25.5;2067.5;713;6.6;51.9;5.28;1.64;0.123;13.333;32.6241;2.983
day3;July_07;day;3;-;-;-;-;-;-;-;1.551;0.118;13.144;25.5319;1.684
day3;July_07;day;3;-;-;-;-;-;-;-;1.889;0.135;13.993;0;3.12
night3;July_08;night;3;17.4;21;0;0;6.4;53.2;2.1;1.011;0.088;11.489;21.7494;1.512
night3;July_08;night;3;-;-;-;-;-;-;-;1.095;0.089;12.303;17.0213;0.783
night3;July_08;night;3;-;-;-;-;-;-;-;1.655;0.132;12.538;0;1.233
day4;July_19;day;4;32;25.4;1895;751.5;6.5;50;4.15;2.205;0.169;13.047;10.4298;2.737
day4;July_19;day;4;-;-;-;-;-;-;-;2.314;0.179;12.927;4.7614;4.131
day4;July_19;day;4;-;-;-;-;-;-;-;2.366;0.179;13.218;5.8951;5.12
night4;July_20;night;4;20.2;20.8;0;0;6.4;41;2.71;2.089;0.192;10.88;7.0288;1.82
night4;July_20;night;4;-;-;-;-;-;-;-;1.9;0.171;11.111;14.9645;4.156
night4;July_20;night;4;-;-;-;-;-;-;-;1.818;0.1796;10.122;14.9645;2.052
